museum,place
"http://dbpedia.org/resource/Long_Island_Museum_of_American_Art,_History,_and_Carriages","http://dbpedia.org/resource/Stony_Brook,_New_York"
http://dbpedia.org/resource/Loppem_Castle,http://dbpedia.org/resource/Bruges
http://dbpedia.org/resource/Loppem_Castle,http://dbpedia.org/resource/West_Flanders
http://dbpedia.org/resource/Loppem_Castle,http://dbpedia.org/resource/Zedelgem
http://dbpedia.org/resource/Loppem_Castle,http://dbpedia.org/resource/Belgium
http://dbpedia.org/resource/Los_Alamos_Historical_Museum,http://dbpedia.org/resource/New_Mexico
http://dbpedia.org/resource/Los_Angeles_County_Museum_of_Art,http://dbpedia.org/resource/Wilshire_Boulevard
http://dbpedia.org/resource/Los_Angeles_Institute_of_Contemporary_Art,"http://dbpedia.org/resource/Century_City,_Los_Angeles"
http://dbpedia.org/resource/Los_Angeles_Museum_of_the_Holocaust,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Los_Angeles_Museum_of_the_Holocaust,http://dbpedia.org/resource/Los_Angeles
http://dbpedia.org/resource/Los_Palacios_Municipal_Museum,http://dbpedia.org/resource/Los_Palacios
http://dbpedia.org/resource/Los_Palacios_Municipal_Museum,http://dbpedia.org/resource/Cuba
http://dbpedia.org/resource/Louis_Vuitton_Foundation,http://dbpedia.org/resource/16th_arrondissement_of_Paris
http://dbpedia.org/resource/Louisiana_Museum_of_Modern_Art,http://dbpedia.org/resource/Fredensborg_Municipality
http://dbpedia.org/resource/Louisiana_Museum_of_Modern_Art,http://dbpedia.org/resource/Denmark
http://dbpedia.org/resource/Louisiana_Museum_of_Natural_History,"http://dbpedia.org/resource/Baton_Rouge,_Louisiana"
http://dbpedia.org/resource/Louisiana_Museum_of_Natural_History,http://dbpedia.org/resource/Louisiana
http://dbpedia.org/resource/Louisiana_Political_Museum_and_Hall_of_Fame,http://dbpedia.org/resource/Louisiana
http://dbpedia.org/resource/Louisiana_Political_Museum_and_Hall_of_Fame,"http://dbpedia.org/resource/Winnfield,_Louisiana"
http://dbpedia.org/resource/Louisville_Slugger_Museum_&_Factory,"http://dbpedia.org/resource/Louisville,_Kentucky"
http://dbpedia.org/resource/Louvre,http://dbpedia.org/resource/France
http://dbpedia.org/resource/Louvre-Lens,"http://dbpedia.org/resource/Lens,_Pas-de-Calais"
http://dbpedia.org/resource/Louvre-Lens,http://dbpedia.org/resource/France
http://dbpedia.org/resource/Louwman_Museum,http://dbpedia.org/resource/Leidschendam
http://dbpedia.org/resource/Louwman_Museum,http://dbpedia.org/resource/Netherlands
http://dbpedia.org/resource/Louwman_Museum,http://dbpedia.org/resource/Raamsdonksveer
http://dbpedia.org/resource/Louwman_Museum,http://dbpedia.org/resource/The_Hague
http://dbpedia.org/resource/Lowe_Art_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Lowe_Art_Museum,"http://dbpedia.org/resource/Coral_Gables,_Florida"
http://dbpedia.org/resource/Lowell_D._Holmes_Museum_of_Anthropology,"http://dbpedia.org/resource/Wichita,_Kansas"
http://dbpedia.org/resource/Lower_Lake_Schoolhouse_Museum,"http://dbpedia.org/resource/Lower_Lake,_California"
http://dbpedia.org/resource/Lowestoft_War_Memorial_Museum,http://dbpedia.org/resource/Suffolk
http://dbpedia.org/resource/Lowestoft_War_Memorial_Museum,http://dbpedia.org/resource/Lowestoft
http://dbpedia.org/resource/Lucas_Museum_of_Narrative_Art,http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Luminato,http://dbpedia.org/resource/Ontario
http://dbpedia.org/resource/Luminato,http://dbpedia.org/resource/Toronto
http://dbpedia.org/resource/Luminato,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Luoyang_Museum,http://dbpedia.org/resource/Henan
