museum||place
http://dbpedia.org/resource/Moscow_Museum_of_Modern_Art||http://dbpedia.org/resource/Tverskoy_Boulevard
http://dbpedia.org/resource/Moscow_Museum_of_Modern_Art||http://dbpedia.org/resource/Petrovka_Street
http://dbpedia.org/resource/Moscow_Museum_of_Modern_Art||http://dbpedia.org/resource/Gogolevskiy_Boulevard
http://dbpedia.org/resource/Moscow_Museum_of_Modern_Art||http://dbpedia.org/resource/Ermolaevskiy_Lane
http://dbpedia.org/resource/Moscow_Paleontological_Museum||http://dbpedia.org/resource/Moscow
http://dbpedia.org/resource/Moseley_Railway_Trust||http://dbpedia.org/resource/England
http://dbpedia.org/resource/Moseley_Railway_Trust||http://dbpedia.org/resource/Staffordshire
http://dbpedia.org/resource/Moseley_Railway_Trust||http://dbpedia.org/resource/Borough_of_Newcastle-under-Lyme
http://dbpedia.org/resource/Moseley_Railway_Trust||http://dbpedia.org/resource/Chesterton,_Staffordshire
http://dbpedia.org/resource/Mossman_Collection||http://dbpedia.org/resource/Luton
http://dbpedia.org/resource/Mossman_Collection||http://dbpedia.org/resource/Stockwood_Discovery_Centre
http://dbpedia.org/resource/Moto_Guzzi_Museum||http://dbpedia.org/resource/Mandello_del_Lario
http://dbpedia.org/resource/Motorcycle_Hall_of_Fame||http://dbpedia.org/resource/Pickerington,_Ohio
http://dbpedia.org/resource/Motorcyclepedia||http://dbpedia.org/resource/Newburgh_(city),_New_York
http://dbpedia.org/resource/Mougins_Museum_of_Classical_Art||http://dbpedia.org/resource/Mougins
http://dbpedia.org/resource/Mougins_Museum_of_Classical_Art||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Moundville_Archaeological_Museum||http://dbpedia.org/resource/Moundville,_Alabama
http://dbpedia.org/resource/Mount_Dora_Center_for_the_Arts||http://dbpedia.org/resource/Mount_Dora,_Florida
http://dbpedia.org/resource/Mount_Dora_History_Museum||http://dbpedia.org/resource/Mount_Dora,_Florida
http://dbpedia.org/resource/Mount_Hanley_Schoolhouse_Museum||http://dbpedia.org/resource/Annapolis_County,_Nova_Scotia
http://dbpedia.org/resource/Mount_Hanley_Schoolhouse_Museum||http://dbpedia.org/resource/Mount_Hanley
http://dbpedia.org/resource/Mountain_Homeplace||http://dbpedia.org/resource/Staffordsville,_Kentucky
http://dbpedia.org/resource/Mumok||http://dbpedia.org/resource/Vienna
http://dbpedia.org/resource/Mumok||http://dbpedia.org/resource/Austria
http://dbpedia.org/resource/Municipal_Ethnographic_Museum_of_Ioannina||http://dbpedia.org/resource/Greece
http://dbpedia.org/resource/Municipal_Ethnographic_Museum_of_Ioannina||http://dbpedia.org/resource/Ioannina
http://dbpedia.org/resource/Municipal_Gallery_of_Athens||http://dbpedia.org/resource/Athens
http://dbpedia.org/resource/Municipal_Gallery_of_Athens||http://dbpedia.org/resource/Greece
http://dbpedia.org/resource/Munshi_Aziz_Bhat_Museum_of_Central_Asian_and_Kargil_Trade_Artifacts||http://dbpedia.org/resource/Kargil
http://dbpedia.org/resource/Mural_Art_Museum||http://dbpedia.org/resource/Thrissur
http://dbpedia.org/resource/Mural_Art_Museum||http://dbpedia.org/resource/Kerala
http://dbpedia.org/resource/Murano_Glass_Museum||http://dbpedia.org/resource/Italy
http://dbpedia.org/resource/Murano_Glass_Museum||http://dbpedia.org/resource/Murano
http://dbpedia.org/resource/Murney_Tower||http://dbpedia.org/resource/Kingston,_Ontario
http://dbpedia.org/resource/Murney_Tower||http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Mus%C3%A9e_%22Les_secrets_du_chocolat%22||http://dbpedia.org/resource/Geispolsheim
http://dbpedia.org/resource/Mus%C3%A9e_Bartholdi||http://dbpedia.org/resource/Colmar
http://dbpedia.org/resource/Mus%C3%A9e_Bartholdi||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_Bonnat||http://dbpedia.org/resource/Bayonne
http://dbpedia.org/resource/Mus%C3%A9e_Bossuet||http://dbpedia.org/resource/Meaux
http://dbpedia.org/resource/Mus%C3%A9e_Bossuet||http://dbpedia.org/resource/%C3%8Ele-de-France
http://dbpedia.org/resource/Mus%C3%A9e_Crozatier||http://dbpedia.org/resource/Le_Puy-en-Velay
http://dbpedia.org/resource/Mus%C3%A9e_Crozatier||http://dbpedia.org/resource/Auvergne_(region)
http://dbpedia.org/resource/Mus%C3%A9e_Crozatier||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_Fragonard_d'Alfort||http://dbpedia.org/resource/Maisons-Alfort
http://dbpedia.org/resource/Mus%C3%A9e_Fragonard_d'Alfort||http://dbpedia.org/resource/%C3%89cole_nationale_v%C3%A9t%C3%A9rinaire_d'Alfort
