artwork||museum
http://dbpedia.org/resource/American_Gothic||http://dbpedia.org/resource/Art_Institute_of_Chicago
http://dbpedia.org/resource/Amor_Vincit_Omnia_(Caravaggio)||http://dbpedia.org/resource/Gem%C3%A4ldegalerie,_Berlin
http://dbpedia.org/resource/An_Experiment_on_a_Bird_in_the_Air_Pump||http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Ancestor_(sculpture)||http://dbpedia.org/resource/Lynden_Sculpture_Garden
http://dbpedia.org/resource/Ancient_Rome_(painting)||http://dbpedia.org/resource/Metropolitan_Museum_of_Art
http://dbpedia.org/resource/Andrew_Jackson_Downing_(Launitz)||http://dbpedia.org/resource/Smithsonian_Institution_Building
http://dbpedia.org/resource/Andrew_John_Henry_Way||http://dbpedia.org/resource/Walters_Art_Museum
http://dbpedia.org/resource/Andromeda_Chained_to_the_Rocks||http://dbpedia.org/resource/Mauritshuis
http://dbpedia.org/resource/Angel_of_the_Resurrection_(Tiffany_Studios_stained_glass_window)||http://dbpedia.org/resource/Indianapolis_Museum_of_Art
http://dbpedia.org/resource/Angel_with_the_Crown_of_Thorns||http://dbpedia.org/resource/Sant'Andrea_delle_Fratte
http://dbpedia.org/resource/Angel_with_the_Superscription||http://dbpedia.org/resource/Sant'Andrea_delle_Fratte
http://dbpedia.org/resource/Annelies,_White_Tulips_and_Anemones||http://dbpedia.org/resource/Honolulu_Museum_of_Art
http://dbpedia.org/resource/Annunciation_(Ambrogio_Lorenzetti)||http://dbpedia.org/resource/Pinacoteca_Nazionale_(Siena)
http://dbpedia.org/resource/Annunciation_(Botticelli,_Glasgow)||http://dbpedia.org/resource/Kelvingrove_Art_Gallery_and_Museum
http://dbpedia.org/resource/Annunciation_(Caravaggio)||http://dbpedia.org/resource/Museum_of_Fine_Arts_of_Nancy
http://dbpedia.org/resource/Annunciation_(Filippo_Lippi,_London)||http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Annunciation_(Leonardo)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Annunciation_(Lippi,_Munich)||http://dbpedia.org/resource/Alte_Pinakothek
http://dbpedia.org/resource/Annunciation_(Lippi,_Rome)||http://dbpedia.org/resource/Doria_Pamphilj_Gallery
http://dbpedia.org/resource/Annunciation_(Pontormo)||http://dbpedia.org/resource/Santa_Felicita,_Florence
http://dbpedia.org/resource/Annunciation_(van_Eyck,_Washington)||http://dbpedia.org/resource/National_Gallery_of_Art
http://dbpedia.org/resource/Annunciation_Triptych_(Lorenzo_Monaco)||http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Firenze
http://dbpedia.org/resource/Annunciation_Triptych_(Rogier_van_der_Weyden)||http://dbpedia.org/resource/The_Louvre
http://dbpedia.org/resource/Annunciation_Triptych_(Rogier_van_der_Weyden)||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Annunciation_Triptych_(Rogier_van_der_Weyden)||http://dbpedia.org/resource/Sabauda_Gallery
http://dbpedia.org/resource/Annunciation_Triptych_(Rogier_van_der_Weyden)||http://dbpedia.org/resource/Turin
http://dbpedia.org/resource/Annunciation_with_St._Margaret_and_St._Ansanus||http://dbpedia.org/resource/Uffizi
