(48.8597425245, 2.39998313637);Aesculus;hippocastanum;CIMETIERE DU PERE LACHAISE / DIV 76;PARIS 20E ARRDT;347.0;22.0;171428;Marronnier
(48.8591685681, 2.27021762792);Corylus;colurna;JARDIN DU RANELAGH;PARIS 16E ARRDT;225.0;18.0;167481;Noisetier de Byzance
(48.8846213312, 2.34392438346);Platanus;orientalis;SQUARE LOUISE MICHEL;PARIS 18E ARRDT;480.0;28.0;168544;Platane
(48.8940926568, 2.32633191622);Aesculus;pavia;SQUARE DES EPINETTES;PARIS 17E ARRDT;284.0;20.0;173523;Marronnier
(48.8682621216, 2.29353225481);Platanus;x hispanica;SQUARE THOMAS JEFFERSSON;PARIS 16E ARRDT;108.0;13.0;168117;Platane
(48.8769145324, 2.34670061772);Platanus;x hispanica;SQUARE MONTHOLON;PARIS 9E ARRDT;465.0;25.0;147708;Platane
(48.847146744, 2.25198353717);Pterocarya;stenoptera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;PARIS 16E ARRDT;540.0;30.0;4253;Pterocarya
(48.8241339366, 2.33796569737);Platanus;x hispanica;PARC MONTSOURIS;PARIS 14E ARRDT;370.0;25.0;5357;Platane
(48.8499468102, 2.34421971028);Zelkova;carpinifolia;SQUARE PAUL PAINLEVE;PARIS 5E ARRDT;248.0;22.0;8000;Orme de Sibérie
(48.8715363448, 2.27816921701);Platanus;x hispanica;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;PARIS 16E ARRDT;443.0;27.0;18098;Platane
(48.8615163386, 2.39906598184);Gymnocladus;dioica;CIMETIERE DU PERE LACHAISE / DIV 77;PARIS 20E ARRDT;149.0;10.0;127126;Chicot du Canada
(48.8626270003, 2.28982415236);Platanus;x hispanica;JARDIN DU TROCADERO;PARIS 16E ARRDT;479.0;28.0;137066;Platane
(48.8650683246, 2.40092640649);Aesculus;hippocastanum;SQUARE EDOUARD VAILLANT;PARIS 20E ARRDT;380.0;26.0;137757;Marronnier
(48.8615791238, 2.29107326949);Corylus;colurna;JARDIN DU TROCADERO;PARIS 16E ARRDT;258.0;20.0;146646;Noisetier de Byzance
(48.8642003629, 2.26796037248);Fagus;sylvatica;STADE DE LA PORTE DE LA MUETTE / 60 BOULEVARD LANNES;PARIS 16E ARRDT;312.0;12.0;146993;Hêtre
(48.8709369341, 2.24803445349);Taxus;baccata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;PARIS 16E ARRDT;246.0;15.0;153392;If
(48.8513574712, 2.32513190803);Melia;azedarach;SQUARE BOUCICAUT;PARIS 7E ARRDT;120.0;13.0;162975;Lilas de Perse
(48.821579307, 2.45494663547);Zelkova;carpinifolia;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;PARIS 12E ARRDT;308.0;21.0;168469;Orme de Sibérie
