artwork,author
http://dbpedia.org/resource/AT&T_Internet_Services,http://dbpedia.org/resource/AT&T_Corporation
http://dbpedia.org/resource/AMD_Catalyst,http://dbpedia.org/resource/ATI_Technologies
http://dbpedia.org/resource/A_Dweller_on_Two_Planets,http://dbpedia.org/resource/A_Dweller_on_Two_Planets
http://dbpedia.org/resource/Iss_Pyaar_Ko_Kya_Naam_Doon%3F,http://dbpedia.org/resource/Aakash_Pandey
http://dbpedia.org/resource/Bhagonwali-Baante_Apni_Taqdeer,http://dbpedia.org/resource/Aakash_Pandey
http://dbpedia.org/resource/Thodi_Khushi_Thode_Gham,http://dbpedia.org/resource/Aakash_Pandey
http://dbpedia.org/resource/Exile_(Star_Wars_novel),http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Backlash_(Star_Wars_novel),http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Dungeon_Master's_Design_Kit,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Karameikos:_Kingdom_of_Adventure,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Outcast_(Star_Wars_novel),http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/The_Dwarves_of_Rockhome,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Enemy_Lines:_Rebel_Dream,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Enemy_Lines:_Rebel_Stand,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Iron_Fist_(novel),http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Solo_Command,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Starfighters_of_Adumar,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/The_Grand_Duchy_of_Karameikos,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Fury_(Star_Wars_novel),http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Betrayal_(Star_Wars_novel),http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Wraith_Squadron,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/The_Complete_Priest's_Handbook,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Dungeons_&_Dragons_Rules_Cyclopedia,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Dawn_of_the_Emperors:_Thyatis_and_Alphatia,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/The_Complete_Fighter's_Handbook,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Conviction_(Star_Wars_novel),http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Mercy_Kill,http://dbpedia.org/resource/Aaron_Allston
http://dbpedia.org/resource/Craft_Corner_Deathmatch,http://dbpedia.org/resource/Aaron_Bergeron
http://dbpedia.org/resource/Avatar:_The_Last_Airbender,http://dbpedia.org/resource/Aaron_Ehasz
http://dbpedia.org/resource/Wanna_Come_In%3F,http://dbpedia.org/resource/Aaron_Ginsburg
http://dbpedia.org/resource/How_to_Fail:_The_Self-Hurt_Guide,http://dbpedia.org/resource/Aaron_Goldfarb
http://dbpedia.org/resource/AppJet,http://dbpedia.org/resource/Aaron_Iba
http://dbpedia.org/resource/Dead_Kansas,http://dbpedia.org/resource/Aaron_K._Carter
http://dbpedia.org/resource/Half-Life_(novel),http://dbpedia.org/resource/Aaron_Krach
http://dbpedia.org/resource/Urban_Cowboy_(musical),http://dbpedia.org/resource/Aaron_Latham
http://dbpedia.org/resource/Profiles_in_Terror,http://dbpedia.org/resource/Aaron_Mannes
http://dbpedia.org/resource/The_Boondocks_(TV_series),http://dbpedia.org/resource/Aaron_McGruder
http://dbpedia.org/resource/The_New_Andy_Griffith_Show,http://dbpedia.org/resource/Aaron_Ruben
"http://dbpedia.org/resource/Smartbomb:_The_Quest_for_Art,_Entertainment,_and_Big_Bucks_in_the_Videogame_Revolution",http://dbpedia.org/resource/Aaron_Ruby
http://dbpedia.org/resource/World_of_Warcraft:_Tides_of_Darkness,http://dbpedia.org/resource/Aaron_S._Rosenberg
http://dbpedia.org/resource/Races_of_Destiny,http://dbpedia.org/resource/Aaron_S._Rosenberg
http://dbpedia.org/resource/World_of_Warcraft:_Beyond_the_Dark_Portal,http://dbpedia.org/resource/Aaron_S._Rosenberg
http://dbpedia.org/resource/Football_Outsiders,http://dbpedia.org/resource/Aaron_Schatz
http://dbpedia.org/resource/George_&_Leo,http://dbpedia.org/resource/Aaron_Shure
http://dbpedia.org/resource/A_Few_Good_Men_(play),http://dbpedia.org/resource/Aaron_Sorkin
http://dbpedia.org/resource/The_Farnsworth_Invention,http://dbpedia.org/resource/Aaron_Sorkin
http://dbpedia.org/resource/The_Guns_of_Will_Sonnett,http://dbpedia.org/resource/Aaron_Spelling
http://dbpedia.org/resource/Fireside_Theater,http://dbpedia.org/resource/Aaron_Spelling
http://dbpedia.org/resource/Playhouse_90,http://dbpedia.org/resource/Aaron_Spelling
http://dbpedia.org/resource/Johnny_Ringo_(TV_series),http://dbpedia.org/resource/Aaron_Spelling
http://dbpedia.org/resource/Korgoth_of_Barbaria,http://dbpedia.org/resource/Aaron_Springer
http://dbpedia.org/resource/Samurai_Jack,http://dbpedia.org/resource/Aaron_Springer
http://dbpedia.org/resource/SecureDrop,http://dbpedia.org/resource/Aaron_Swartz
http://dbpedia.org/resource/Tor2web,http://dbpedia.org/resource/Aaron_Swartz
http://dbpedia.org/resource/Khirer_Putul,http://dbpedia.org/resource/Abanindranath_Tagore
http://dbpedia.org/resource/Bharat_Mata_(Abanindranath),http://dbpedia.org/resource/Abanindranath_Tagore
http://dbpedia.org/resource/The_Persian_Sphinx,http://dbpedia.org/resource/Abbas_Milani
http://dbpedia.org/resource/Woodstock_Nation_(book),http://dbpedia.org/resource/Abbie_Hoffman
http://dbpedia.org/resource/Steal_This_Book,http://dbpedia.org/resource/Abbie_Hoffman
http://dbpedia.org/resource/The_Sisters_(Abbott_Thayer),http://dbpedia.org/resource/Abbott_Handerson_Thayer
http://dbpedia.org/resource/Stevenson_Memorial,http://dbpedia.org/resource/Abbott_Handerson_Thayer
http://dbpedia.org/resource/Sinatra_(miniseries),http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/Playhouse_90,http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/Kojak:_The_Price_of_Justice,http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/Westinghouse_Studio_One,http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/Skag,http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/Indictment:_The_McMartin_Trial,http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/The_Greatest_Gift_(film),http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/Star_Tonight,http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/The_Atlanta_Child_Murders_(miniseries),http://dbpedia.org/resource/Abby_Mann
http://dbpedia.org/resource/Al-Kamal_fi_Asma'_al-Rijal,http://dbpedia.org/resource/Abd_al-Ghani_al-Maqdisi
http://dbpedia.org/resource/Braquo,http://dbpedia.org/resource/Abdel_Raouf_Dafri
http://dbpedia.org/resource/Two_Centuries_of_Silence,http://dbpedia.org/resource/Abdolhossein_Zarrinkoob
http://dbpedia.org/resource/Mafatih_al-hayat,http://dbpedia.org/resource/Abdollah_Javadi-Amoli
http://dbpedia.org/resource/Ainak_Wala_Jin,http://dbpedia.org/resource/Abdul_Hameed_(writer)
http://dbpedia.org/resource/Salah_Asuhan,http://dbpedia.org/resource/Abdul_Muis
http://dbpedia.org/resource/Pertemuan_Jodoh,http://dbpedia.org/resource/Abdul_Muis
http://dbpedia.org/resource/Cities_of_Salt,http://dbpedia.org/resource/Abdul_Rahman_Munif
http://dbpedia.org/resource/Interlok,http://dbpedia.org/resource/Abdullah_Hussain
http://dbpedia.org/resource/Aparajeyo_Bangla,http://dbpedia.org/resource/Abdullah_Khaled
http://dbpedia.org/resource/Paradise_(Abdulrazak_Gurnah),http://dbpedia.org/resource/Abdulrazak_Gurnah
http://dbpedia.org/resource/Can-Can_(musical),http://dbpedia.org/resource/Abe_Burrows
http://dbpedia.org/resource/Guys_and_Dolls,http://dbpedia.org/resource/Abe_Burrows
http://dbpedia.org/resource/Make_a_Wish_(musical),http://dbpedia.org/resource/Abe_Burrows
http://dbpedia.org/resource/How_to_Succeed_in_Business_Without_Really_Trying_(musical),http://dbpedia.org/resource/Abe_Burrows
http://dbpedia.org/resource/Three_Wishes_for_Jamie,http://dbpedia.org/resource/Abe_Burrows
"http://dbpedia.org/resource/Say,_Darling",http://dbpedia.org/resource/Abe_Burrows
http://dbpedia.org/resource/Silk_Stockings,http://dbpedia.org/resource/Abe_Burrows
http://dbpedia.org/resource/First_Impressions_(musical),http://dbpedia.org/resource/Abe_Burrows
http://dbpedia.org/resource/Cactus_Flower_(play),http://dbpedia.org/resource/Abe_Burrows
http://dbpedia.org/resource/Mi_segunda_madre,http://dbpedia.org/resource/Abel_Santa_Cruz
http://dbpedia.org/resource/Guadalupe_(1984_telenovela),http://dbpedia.org/resource/Abel_Santa_Cruz
http://dbpedia.org/resource/Babyji,http://dbpedia.org/resource/Abha_Dawesar
http://dbpedia.org/resource/Poor_Economics,http://dbpedia.org/resource/Abhijit_Banerjee
http://dbpedia.org/resource/Mediocre_But_Arrogant,http://dbpedia.org/resource/Abhijit_Bhaduri
http://dbpedia.org/resource/Pyaar_Tune_Kya_Kiya_(TV_series),http://dbpedia.org/resource/Abhijit_Das
