museum,place
"http://dbpedia.org/resource/Airport_Museum_(Melbourne,_Florida)","http://dbpedia.org/resource/Melbourne,_Florida"
http://dbpedia.org/resource/Aivazovsky_National_Art_Gallery,http://dbpedia.org/resource/Feodosia
http://dbpedia.org/resource/Ajax_Experience,http://dbpedia.org/resource/Rembrandtplein
http://dbpedia.org/resource/Akranes_Museum_Centre,http://dbpedia.org/resource/Akranes
http://dbpedia.org/resource/Akranes_Museum_Centre,http://dbpedia.org/resource/Iceland
http://dbpedia.org/resource/Akron_Art_Museum,http://dbpedia.org/resource/Ohio
http://dbpedia.org/resource/Akron_Art_Museum,"http://dbpedia.org/resource/Akron,_Ohio"
http://dbpedia.org/resource/Akureyri_Art_Museum,http://dbpedia.org/resource/Akureyri
http://dbpedia.org/resource/Akureyri_Art_Museum,http://dbpedia.org/resource/Iceland
http://dbpedia.org/resource/Al-Mashrabiya_Building,http://dbpedia.org/resource/Jerusalem
http://dbpedia.org/resource/Al-Mashrabiya_Building,http://dbpedia.org/resource/Beit_Safafa
http://dbpedia.org/resource/Alabama_Museum_of_Natural_History,http://dbpedia.org/resource/Alabama
http://dbpedia.org/resource/Alabama_Museum_of_Natural_History,"http://dbpedia.org/resource/Tuscaloosa,_Alabama"
http://dbpedia.org/resource/Alabama_Museum_of_Natural_History,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Alameda_Museum,"http://dbpedia.org/resource/Alameda,_California"
http://dbpedia.org/resource/Alameda_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Alamogordo_Museum_of_History,"http://dbpedia.org/resource/Alamogordo,_New_Mexico"
http://dbpedia.org/resource/Alampur_Museum,http://dbpedia.org/resource/Telangana
http://dbpedia.org/resource/Alampur_Museum,"http://dbpedia.org/resource/Alampur,_Mahbubnagar"
http://dbpedia.org/resource/Alampur_Museum,http://dbpedia.org/resource/India
http://dbpedia.org/resource/Alaska_Sports_Hall_of_Fame,"http://dbpedia.org/resource/Anchorage,_Alaska"
http://dbpedia.org/resource/Albanian_National_Archives,http://dbpedia.org/resource/Tirana
http://dbpedia.org/resource/Albanian_National_Archives,http://dbpedia.org/resource/Albania
http://dbpedia.org/resource/Albany_Institute_of_History_&_Art,"http://dbpedia.org/resource/Albany,_New_York"
http://dbpedia.org/resource/Albany_Institute_of_History_&_Art,http://dbpedia.org/resource/New_York
"http://dbpedia.org/resource/Albany_Museum,_South_Africa",http://dbpedia.org/resource/Grahamstown
"http://dbpedia.org/resource/Albany_Museum,_South_Africa",http://dbpedia.org/resource/South_Africa
http://dbpedia.org/resource/Alberta_Aviation_Museum,http://dbpedia.org/resource/Alberta
http://dbpedia.org/resource/Alberta_Aviation_Museum,http://dbpedia.org/resource/Edmonton
http://dbpedia.org/resource/Alberta_Aviation_Museum,http://dbpedia.org/resource/Kingsway_(Edmonton)
http://dbpedia.org/resource/Alberta_Central_Railway_Museum,http://dbpedia.org/resource/Alberta
