author||place
http://dbpedia.org/resource/Adele_Goldberg_(computer_scientist)||http://dbpedia.org/resource/Cleveland
http://dbpedia.org/resource/Adi_Bulsara||http://dbpedia.org/resource/Mumbai
http://dbpedia.org/resource/Adi_Shamir||http://dbpedia.org/resource/Tel_Aviv
http://dbpedia.org/resource/Adiele_Afigbo||http://dbpedia.org/resource/Okigwe
http://dbpedia.org/resource/Adil_Najam||http://dbpedia.org/resource/Punjab,_Pakistan
http://dbpedia.org/resource/Adil_Najam||http://dbpedia.org/resource/Rawalpindi
http://dbpedia.org/resource/Aditi_Shankardass||http://dbpedia.org/resource/London
http://dbpedia.org/resource/Adl%C3%A8ne_Hicheur||http://dbpedia.org/resource/S%C3%A9tif
http://dbpedia.org/resource/Adolf_Bastian||http://dbpedia.org/resource/Bremen
http://dbpedia.org/resource/Adolf_Butenandt||http://dbpedia.org/resource/Bremerhaven
http://dbpedia.org/resource/Adolf_Carl_No%C3%A9||http://dbpedia.org/resource/Graz
http://dbpedia.org/resource/Adolf_Ellegard_Jensen||http://dbpedia.org/resource/Kiel
http://dbpedia.org/resource/Adolf_Engler||http://dbpedia.org/resource/%C5%BBaga%C5%84
http://dbpedia.org/resource/Adolf_Ernst||http://dbpedia.org/resource/Przemk%C3%B3w
http://dbpedia.org/resource/Adolf_Eugen_Fick||http://dbpedia.org/resource/Kassel
http://dbpedia.org/resource/Adolf_Ferdinand_Weinhold||http://dbpedia.org/resource/Zwenkau
http://dbpedia.org/resource/Adolf_Furtw%C3%A4ngler||http://dbpedia.org/resource/Freiburg_im_Breisgau
http://dbpedia.org/resource/Adolf_Hurwitz||http://dbpedia.org/resource/Hildesheim
http://dbpedia.org/resource/Adolf_Karl_Ludwig_Claus||http://dbpedia.org/resource/Kassel
http://dbpedia.org/resource/Adolf_Kirchhoff||http://dbpedia.org/resource/Berlin
http://dbpedia.org/resource/Adolf_Lieben||http://dbpedia.org/resource/Vienna
http://dbpedia.org/resource/Adolf_Mayer||http://dbpedia.org/resource/Oldenburg
http://dbpedia.org/resource/Adolf_Meyer_(psychiatrist)||http://dbpedia.org/resource/Niederweningen
http://dbpedia.org/resource/Adolf_Otto_Reinhold_Windaus||http://dbpedia.org/resource/Berlin
http://dbpedia.org/resource/Adolf_Piltz||http://dbpedia.org/resource/Ilmenau
http://dbpedia.org/resource/Adolf_Pinner||http://dbpedia.org/resource/Wronki
http://dbpedia.org/resource/Adolf_Reinach||http://dbpedia.org/resource/Mainz
http://dbpedia.org/resource/Adolf_Sieverts||http://dbpedia.org/resource/Hamburg
http://dbpedia.org/resource/Adolf_von_Baeyer||http://dbpedia.org/resource/Berlin
http://dbpedia.org/resource/Adolfo_Figueroa-Vi%C3%B1as||http://dbpedia.org/resource/Arecibo,_Puerto_Rico
http://dbpedia.org/resource/Adolfo_Panfili||http://dbpedia.org/resource/Rome
http://dbpedia.org/resource/Adolph_Francis_Alphonse_Bandelier||http://dbpedia.org/resource/Bern
http://dbpedia.org/resource/Adolph_Knopf||http://dbpedia.org/resource/California
http://dbpedia.org/resource/Adolph_Knopf||http://dbpedia.org/resource/San_Francisco
http://dbpedia.org/resource/Adolph_Strecker||http://dbpedia.org/resource/Darmstadt
http://dbpedia.org/resource/Adolph_Wagner||http://dbpedia.org/resource/Erlangen
http://dbpedia.org/resource/Adolphe-Th%C3%A9odore_Brongniart||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Adolphe_Bazaine-Vasseur||http://dbpedia.org/resource/Versailles_(city)
http://dbpedia.org/resource/Adolphe_Quetelet||http://dbpedia.org/resource/Ghent
http://dbpedia.org/resource/Adolphe_Quetelet||http://dbpedia.org/resource/Picardy
http://dbpedia.org/resource/Adolphe_Quetelet||http://dbpedia.org/resource/Ham,_Somme
http://dbpedia.org/resource/Adolpho_Ducke||http://dbpedia.org/resource/Trieste
http://dbpedia.org/resource/Adri%C3%A1n_Recinos||http://dbpedia.org/resource/Antigua_Guatemala
http://dbpedia.org/resource/Adriaan_Blaauw||http://dbpedia.org/resource/Amsterdam
http://dbpedia.org/resource/Adriaan_Cornelis_Zaanen||http://dbpedia.org/resource/Rotterdam
http://dbpedia.org/resource/Adriaan_Isebree_Moens||http://dbpedia.org/resource/Zierikzee
http://dbpedia.org/resource/Adriaan_van_Maanen||http://dbpedia.org/resource/Sneek
http://dbpedia.org/resource/Adriaan_van_Wijngaarden||http://dbpedia.org/resource/Rotterdam
http://dbpedia.org/resource/Adriaan_van_den_Spiegel||http://dbpedia.org/resource/Brussels
http://dbpedia.org/resource/Adrian_Dixon||http://dbpedia.org/resource/Cambridge
http://dbpedia.org/resource/Adrian_Ioana||http://dbpedia.org/resource/T%C3%A2rgu_Jiu
http://dbpedia.org/resource/Adrian_Kantrowitz||http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/Adrian_Melott||http://dbpedia.org/resource/Moundsville,_West_Virginia
http://dbpedia.org/resource/Adrian_Smith_(statistician)||http://dbpedia.org/resource/Dawlish
http://dbpedia.org/resource/Adriana_Hoffmann||http://dbpedia.org/resource/Santiago
http://dbpedia.org/resource/Adriana_Ocampo||http://dbpedia.org/resource/Barranquilla
http://dbpedia.org/resource/Adriano_Buzzati-Traverso||http://dbpedia.org/resource/Milan
http://dbpedia.org/resource/Adriano_Garsia||http://dbpedia.org/resource/Tunis
http://dbpedia.org/resource/Adrianus_de_Hoop||http://dbpedia.org/resource/Rotterdam
http://dbpedia.org/resource/Adrien-Marie_Legendre||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Adrien_Douady||http://dbpedia.org/resource/Is%C3%A8re
http://dbpedia.org/resource/Adrien_Douady||http://dbpedia.org/resource/La_Tronche
http://dbpedia.org/resource/Adrien_Loir||http://dbpedia.org/resource/Lyon
http://dbpedia.org/resource/Aghabeyim_agha_Javanshir||http://dbpedia.org/resource/Shusha
http://dbpedia.org/resource/Agnes_Arber||http://dbpedia.org/resource/London
http://dbpedia.org/resource/Agnes_Arber||http://dbpedia.org/resource/Primrose_Hill
http://dbpedia.org/resource/Agnes_Pockels||http://dbpedia.org/resource/Venice
http://dbpedia.org/resource/Agostino_Bassi||http://dbpedia.org/resource/Lombardy
http://dbpedia.org/resource/Agostino_Bassi||http://dbpedia.org/resource/Mairago
http://dbpedia.org/resource/Agostino_Gemelli||http://dbpedia.org/resource/Milan
http://dbpedia.org/resource/Aharon_Isser||http://dbpedia.org/resource/Rehovot
http://dbpedia.org/resource/Aharon_Razin||http://dbpedia.org/resource/Tel_Aviv
http://dbpedia.org/resource/Ahatanhel_Krymsky||http://dbpedia.org/resource/Volodymyr-Volynskyi
http://dbpedia.org/resource/Ahmad_Hasan_Dani||http://dbpedia.org/resource/Basna
http://dbpedia.org/resource/Ahmed_Kaboudan||http://dbpedia.org/resource/Cairo
http://dbpedia.org/resource/Ahmed_Mohiuddin||http://dbpedia.org/resource/Hyderabad
http://dbpedia.org/resource/Ahmed_Shafik_(sexologist)||http://dbpedia.org/resource/Shibin_Al_Kawm,_Al_Minufiyah
http://dbpedia.org/resource/Ahmed_Zewail||http://dbpedia.org/resource/Damanhur
http://dbpedia.org/resource/Ahmet_Mete_I%C5%9F%C4%B1kara||http://dbpedia.org/resource/Mersin
http://dbpedia.org/resource/Ahto_Buldas||http://dbpedia.org/resource/Tallinn
http://dbpedia.org/resource/Aida_Imanguliyeva||http://dbpedia.org/resource/Baku
http://dbpedia.org/resource/Aim%C3%A9_Argand||http://dbpedia.org/resource/Geneva
